company,listing_date,issue_price,listing_price,listing_gain_pct
Innova Captab Limited,"Dec 29, 2023",448,545.15,21.68526785714285
Azad Engineering Limited,"Dec 28, 2023",524,677.1,29.2175572519084
RBZ Jewellers Limited,"Dec 27, 2023",100,104.99,4.989999999999995
Credo Brands Marketing Limited,"Dec 27, 2023",280,312.5,11.607142857142858
Happy Forgings Limited,"Dec 27, 2023",850,1029.8,21.152941176470584
Motisons Jewellers Limited,"Dec 26, 2023",55,101.18,83.96363636363637
Suraj Estate Developers Limited,"Dec 26, 2023",360,334.3,-7.138888888888887
Muthoot Microfin Limited,"Dec 26, 2023",291,266.2,-8.522336769759455
Inox India Limited,"Dec 21, 2023",660,939.9,42.40909090909091
India Shelter Finance Corporation Limited,"Dec 20, 2023",493,543.5,10.243407707910752
DOMS Industries Limited,"Dec 20, 2023",790,1330.85,68.4620253164557
Flair Writing Industries Limited,"Dec 01, 2023",304,452.7,48.91447368421053
Gandhar Oil Refinery (India) Limited,"Nov 30, 2023",169,301.5,78.40236686390533
Fedbank Financial Services Limited,"Nov 30, 2023",140,140.0,0.0
Tata Technologies Limited,"Nov 30, 2023",500,1314.25,162.85
Indian Renewable Energy Development Agency Ltd,"Nov 29, 2023",32,59.99,87.46875
ASK Automotive Limited,"Nov 15, 2023",282,310.2,9.999999999999996
Protean eGov Technologies Limited,"Nov 13, 2023",792,883.0,11.48989898989899
ESAF Small Finance Bank Limited,"Nov 10, 2023",60,69.05,15.083333333333329
Honasa Consumer Limited,"Nov 07, 2023",324,337.15,4.0586419753086345
Cello World Limited,"Nov 06, 2023",648,791.9,22.206790123456788
Blue Jet Healthcare Limited,"Nov 01, 2023",346,395.85,14.40751445086706
IRM Energy Limited,"Oct 26, 2023",505,472.95,-6.3465346534653495
Plaza Wires Limited,"Oct 12, 2023",54,80.23,48.57407407407408
Valiant Laboratories Limited,"Oct 06, 2023",140,169.05,20.750000000000007
Updater Services Limited,"Oct 04, 2023",300,283.85,-5.383333333333326
JSW Infrastructure Limited,"Oct 03, 2023",119,157.3,32.18487394957984
Manoj Vaibhav Gems 'N' Jewellers Limited,"Oct 03, 2023",215,215.65,0.3023255813953515
Yatra Online Limited,"Sep 28, 2023",142,135.95,-4.260563380281698
Sai Silks (Kalamandir) Limited,"Sep 27, 2023",222,244.85,10.29279279279279
Signatureglobal (India) Limited,"Sep 27, 2023",385,458.4,19.06493506493506
SAMHI Hotels Limited,"Sep 22, 2023",126,143.55,13.928571428571438
Zaggle Prepaid Ocean Services Limited,"Sep 22, 2023",164,158.3,-3.4756097560975543
EMS Limited,"Sep 21, 2023",211,279.75,32.58293838862559
R R Kabel Limited,"Sep 20, 2023",1035,1196.65,15.618357487922713
Jupiter Life Line Hospitals Limited,"Sep 18, 2023",735,1075.25,46.29251700680272
Ratnaveer Precision Engineering Limited,"Sep 11, 2023",98,134.4,37.14285714285715
Rishabh Instruments Limited,"Sep 11, 2023",441,442.75,0.3968253968253968
Vishnu Prakash R Punglia Limited,"Sep 05, 2023",99,145.93,47.40404040404041
Aeroflex Industries Limited,"Aug 31, 2023",108,163.15,51.06481481481482
Pyramid Technoplast Limited,"Aug 29, 2023",166,175.75,5.873493975903615
TVS Supply Chain Solutions Limited,"Aug 23, 2023",197,200.95,2.005076142131974
Concord Biotech Limited,"Aug 18, 2023",741,941.85,27.105263157894736
SBFC Finance Limited,"Aug 16, 2023",57,92.21,61.77192982456139
Yatharth Hospital and Trauma Care Services Limited,"Aug 07, 2023",300,300.0,0.0
Netweb Technologies India Limited,"Jul 27, 2023",500,910.5,82.1
Utkarsh Small Finance Bank Limited,"Jul 21, 2023",25,47.94,91.75999999999999
Senco Gold Limited,"Jul 14, 2023",317,404.95,27.744479495268138
Cyient DLM Limited,"Jul 10, 2023",265,420.75,58.77358490566038
ideaForge Technology Limited,"Jul 07, 2023",672,1295.5,92.78273809523809
HMA Agro Industries Limited,"Jul 04, 2023",585,584.75,-0.042735042735042736
IKIO Lighting Limited,"Jun 16, 2023",285,403.75,41.66666666666667
Nexus Select Trust,"May 19, 2023",100,104.26,4.260000000000005
Mankind Pharma Limited,"May 09, 2023",1080,1424.05,31.856481481481474
Avalon Technologies Limited,"Apr 18, 2023",436,397.45,-8.841743119266058
Udayshivakumar Infra Limited,"Apr 03, 2023",35,31.5,-10.0
Global Surfaces Limited,"Mar 23, 2023",140,170.9,22.071428571428577
Divgi TorqTransfer Systems Limited,"Mar 14, 2023",590,605.15,2.567796610169488
Sah Polymers Limited,"Jan 12, 2023",65,89.25,37.30769230769231
Radiant Cash Management Services Limited,"Jan 04, 2023",94,104.7,11.382978723404257
Monte Carlo Fashions Limited,"Dec 19, 2014",645,566.4,-12.186046511627909
Shemaroo Entertainment Ltd,"Oct 01, 2014",170,171.0,0.5882352941176471
Sharda Cropchem Ltd,"Sep 23, 2014",156,231.45,48.36538461538461
Snowman Logistics Ltd,"Sep 12, 2014",47,78.75,67.5531914893617
Wonderla Holidays Ltd,"Sep 05, 2014",125,157.6,26.08
Engineers India Limited,"Feb 28, 2014",150,149.9,-0.06666666666666288
Elin Electronics Limited,"Dec 30, 2022",247,227.8,-7.773279352226716
KFin Technologies Limited,"Dec 29, 2022",366,364.0,-0.546448087431694
Abans Holdings Limited,"Dec 23, 2022",270,216.05,-19.981481481481477
Landmark Cars Limited,"Dec 23, 2022",506,460.05,-9.081027667984188
Sula Vineyards Limited,"Dec 22, 2022",357,331.15,-7.240896358543424
Uniparts India Limited,"Dec 12, 2022",577,539.55,-6.490467937608327
Dharmaj Crop Guard Limited,"Dec 08, 2022",237,266.4,12.40506329113923
Keystone Realtors Limited,"Nov 24, 2022",541,557.8,3.105360443622912
Inox Green Energy Services Limited,"Nov 23, 2022",65,59.1,-9.076923076923075
Kaynes Technology India Ltd,"Nov 22, 2022",587,690.1,17.563884156729134
Archean Chemical Industries Limited,"Nov 21, 2022",407,457.95,12.518427518427517
Five Star Business Finance Ltd,"Nov 21, 2022",474,489.5,3.2700421940928273
Global Health Limited,"Nov 16, 2022",336,415.65,23.705357142857135
Bikaji Foods International Limited,"Nov 16, 2022",300,317.45,5.816666666666663
Fusion Micro Finance Limited,"Nov 15, 2022",368,324.9,-11.711956521739136
DCX Systems Limited,"Nov 11, 2022",207,308.8,49.17874396135266
Tracxn Technologies Limited,"Oct 20, 2022",80,93.35,16.687499999999993
Electronics Mart India Limited,"Oct 17, 2022",59,84.45,43.13559322033898
Harsha Engineers International Ltd,"Sep 26, 2022",330,485.9,47.242424242424235
Tamilnad Mercantile Bank Limited,"Sep 15, 2022",510,508.45,-0.30392156862745323
Dreamfolks Services Limited,"Sep 06, 2022",326,462.65,41.91717791411042
Syrma SGS Technology Ltd,"Aug 26, 2022",220,313.05,42.295454545454554
Aether Industries Limited,"Jun 03, 2022",642,776.75,20.989096573208723
eMudhra Limited,"Jun 01, 2022",256,258.85,1.1132812500000089
Ethos Limited,"May 30, 2022",878,802.6,-8.587699316628699
Paradeep Phosphates Limited,"May 27, 2022",42,43.95,4.64285714285715
Venus Pipes & Tubes Limited,"May 24, 2022",326,351.75,7.898773006134969
Delhivery Limited,"May 24, 2022",487,537.25,10.318275154004107
Prudent Corporate Advisory Services Limited,"May 20, 2022",630,562.7,-10.682539682539675
Life Insurance Corporation of India (LIC),"May 17, 2022",949,875.45,-7.750263435194937
Rainbow Children's Medicare Limited,"May 10, 2022",542,450.1,-16.955719557195568
Campus Activewear Limited,"May 09, 2022",292,378.6,29.657534246575352
Hariom Pipe Industries Limited,"Apr 13, 2022",153,224.7,46.86274509803921
Veranda Learning Solutions Limited,"Apr 11, 2022",137,160.4,17.080291970802925
Ruchi Soya Industries Ltd,"Apr 08, 2022",650,924.85,42.284615384615385
Uma Exports Limited,"Apr 07, 2022",68,84.0,23.52941176470588
Vedant Fashions Limited,"Feb 16, 2022",866,934.85,7.950346420323329
Adani Wilmar Limited,"Feb 08, 2022",230,265.2,15.30434782608695
AGS Transact Technologies Ltd,"Jan 31, 2022",175,161.3,-7.828571428571422
CMS Info Systems Limited,"Dec 31, 2021",216,237.4,9.90740740740741
Supriya Lifescience Limited,"Dec 28, 2021",274,390.35,42.463503649635044
HP Adhesives Limited,"Dec 27, 2021",274,334.95,22.244525547445253
Data Patterns (India) Limited,"Dec 24, 2021",585,754.85,29.034188034188034
Medplus Health Services Limited,"Dec 23, 2021",796,1120.85,40.81030150753768
Metro Brands Limited,"Dec 22, 2021",500,493.55,-1.2899999999999978
C.E. Info systems limited,"Dec 21, 2021",1033,1394.55,35.0
Shriram Properties Limited,"Dec 20, 2021",118,99.4,-15.762711864406775
Rategain Travel Technologies Limited,"Dec 17, 2021",425,340.5,-19.88235294117647
Anand Rathi Wealth Limited,"Dec 14, 2021",550,583.5,6.090909090909091
Tega Industries Limited,"Dec 13, 2021",453,725.5,60.15452538631346
Star Health and Allied Insurance Company Ltd,"Dec 10, 2021",900,906.85,0.7611111111111136
Go Fashion (India) Limited,"Nov 30, 2021",690,1252.6,81.53623188405795
Tarsons Products Limited,"Nov 26, 2021",662,840.0,26.888217522658607
Latent View Analytics Limited,"Nov 23, 2021",197,488.6,148.02030456852793
Sapphire Foods India Limited,"Nov 18, 2021",1180,1216.05,3.055084745762708
One 97 Communications Limited,"Nov 18, 2021",2150,1564.15,-27.248837209302323
S.J.S. Enterprises Limited,"Nov 15, 2021",542,509.85,-5.931734317343169
PB Fintech Limited,"Nov 15, 2021",980,1202.9,22.74489795918368
Sigachi Industries Limited,"Nov 15, 2021",163,603.75,270.398773006135
Fino Payments Bank Limited,"Nov 12, 2021",577,545.25,-5.50259965337955
FSN E-Commerce Ventures Limited,"Nov 10, 2021",1125,2206.7,96.15111111111109
Aditya Birla Sun Life AMC Ltd,"Oct 11, 2021",712,699.65,-1.734550561797756
Paras Defence And Space Technologies Limited,"Oct 01, 2021",175,498.75,185.0
Sansera Engineering Limited,"Sep 24, 2021",744,818.7,10.040322580645167
Ami Organics Limited,"Sep 14, 2021",610,934.55,53.20491803278687
Vijaya Diagnostic Centre Limited,"Sep 14, 2021",531,619.3,16.629001883239162
Aptus Value Housing Finance India Ltd,"Aug 24, 2021",353,346.5,-1.8413597733711047
Chemplast Sanmar Limited,"Aug 24, 2021",541,534.9,-1.1275415896488026
Nuvoco Vistas Corporation Ltd,"Aug 23, 2021",570,531.3,-6.7894736842105345
CarTrade Tech Limited,"Aug 20, 2021",1618,1500.1,-7.286773794808411
Devyani International Limited,"Aug 16, 2021",90,123.35,37.05555555555555
Krsnaa Diagnostics Limited,"Aug 16, 2021",954,990.75,3.852201257861635
Exxaro Tiles Limited,"Aug 16, 2021",120,132.25,10.208333333333334
Windlas Biotech Limited,"Aug 16, 2021",460,406.7,-11.586956521739133
Rolex Rings Limited,"Aug 09, 2021",900,1166.55,29.616666666666664
