company,sentiment_score
Innova Captab Limited,0.09
Azad Engineering Limited,0.23
RBZ Jewellers Limited,0.2
Credo Brands Marketing Limited,0.22
Happy Forgings Limited,0.54
Motisons Jewellers Limited,0.34
Suraj Estate Developers Limited,0.2
Muthoot Microfin Limited,0.15
Inox India Limited,0.06
India Shelter Finance Corporation Limited,0.25
DOMS Industries Limited,0.26
Flair Writing Industries Limited,-0.03
Gandhar Oil Refinery (India) Limited,0.17
Fedbank Financial Services Limited,0.19
Tata Technologies Limited,0.18
Indian Renewable Energy Development Agency Ltd,0.3
ASK Automotive Limited,0.05
Protean eGov Technologies Limited,0.1
ESAF Small Finance Bank Limited,0.13
Honasa Consumer Limited,-0.19
Cello World Limited,-0.09
Blue Jet Healthcare Limited,0.12
IRM Energy Limited,0.56
Plaza Wires Limited,0.23
Valiant Laboratories Limited,0.15
Updater Services Limited,0.16
JSW Infrastructure Limited,0.26
Manoj Vaibhav Gems 'N' Jewellers Limited,0.16
Yatra Online Limited,0.1
Sai Silks (Kalamandir) Limited,0.06
Signatureglobal (India) Limited,0.15
SAMHI Hotels Limited,0.1
Zaggle Prepaid Ocean Services Limited,0.3
EMS Limited,0.32
R R Kabel Limited,-0.03
Jupiter Life Line Hospitals Limited,-0.05
Ratnaveer Precision Engineering Limited,0.18
Rishabh Instruments Limited,0.12
Vishnu Prakash R Punglia Limited,0.2
Aeroflex Industries Limited,0.23
Pyramid Technoplast Limited,0.19
TVS Supply Chain Solutions Limited,0.16
Concord Biotech Limited,0.01
SBFC Finance Limited,0.3
Yatharth Hospital and Trauma Care Services Limited,0.28
Netweb Technologies India Limited,0.1
Utkarsh Small Finance Bank Limited,0.17
Senco Gold Limited,0.27
Cyient DLM Limited,0.14
ideaForge Technology Limited,-0.09
HMA Agro Industries Limited,0.28
IKIO Lighting Limited,0.18
Nexus Select Trust,0.44
Mankind Pharma Limited,0.01
Avalon Technologies Limited,0.18
Udayshivakumar Infra Limited,0.38
Global Surfaces Limited,0.02
Divgi TorqTransfer Systems Limited,0.23
Sah Polymers Limited,0.16
Radiant Cash Management Services Limited,0.2
Monte Carlo Fashions Limited,0.33
Shemaroo Entertainment Ltd,0.33
Sharda Cropchem Ltd,0.19
Snowman Logistics Ltd,0.21
Wonderla Holidays Ltd,0.41
Engineers India Limited,0.17
Elin Electronics Limited,0.08
KFin Technologies Limited,0.14
Abans Holdings Limited,0.07
Landmark Cars Limited,0.13
Sula Vineyards Limited,0.1
Uniparts India Limited,0.04
Dharmaj Crop Guard Limited,0.08
Keystone Realtors Limited,0.27
Inox Green Energy Services Limited,0.43
Kaynes Technology India Ltd,0.22
Archean Chemical Industries Limited,0.11
Five Star Business Finance Ltd,0.37
Global Health Limited,0.16
Bikaji Foods International Limited,0.19
Fusion Micro Finance Limited,0.0
DCX Systems Limited,0.31
Tracxn Technologies Limited,0.08
Electronics Mart India Limited,0.18
Harsha Engineers International Ltd,0.19
Tamilnad Mercantile Bank Limited,0.25
Dreamfolks Services Limited,0.17
Syrma SGS Technology Ltd,0.24
Aether Industries Limited,0.28
eMudhra Limited,0.21
Ethos Limited,0.07
Paradeep Phosphates Limited,0.12
Venus Pipes & Tubes Limited,0.1
Delhivery Limited,-0.01
Prudent Corporate Advisory Services Limited,0.31
Life Insurance Corporation of India (LIC),-0.05
Rainbow Children's Medicare Limited,0.13
Campus Activewear Limited,0.47
Hariom Pipe Industries Limited,0.3
Veranda Learning Solutions Limited,0.15
Ruchi Soya Industries Ltd,0.06
Uma Exports Limited,-0.0
Vedant Fashions Limited,0.27
Adani Wilmar Limited,0.17
AGS Transact Technologies Ltd,0.06
CMS Info Systems Limited,0.18
Supriya Lifescience Limited,0.16
HP Adhesives Limited,0.26
Data Patterns (India) Limited,0.06
Medplus Health Services Limited,0.21
Metro Brands Limited,0.24
C.E. Info systems limited,0.18
Shriram Properties Limited,0.19
Rategain Travel Technologies Limited,0.07
Anand Rathi Wealth Limited,0.5
Tega Industries Limited,0.11
Star Health and Allied Insurance Company Ltd,0.13
Go Fashion (India) Limited,0.12
Tarsons Products Limited,0.18
Latent View Analytics Limited,0.33
Sapphire Foods India Limited,0.07
One 97 Communications Limited,0.13
S.J.S. Enterprises Limited,-0.01
PB Fintech Limited,-0.02
Sigachi Industries Limited,0.19
